,local_ppl_cnt,vx,vy
0,0,6.123233995736766e-17,1.0
1,0,6.123233995736766e-17,1.0
2,0,6.123233995736766e-17,1.0
3,0,6.123233995736766e-17,1.0
4,0,6.123233995736766e-17,1.0
5,0,6.123233995736766e-17,1.0
6,1,6.123233995736766e-17,1.0
7,1,6.123233995736766e-17,1.0
8,2,6.123233995736766e-17,1.0
9,2,6.123233995736766e-17,1.0
10,4,6.123233995736766e-17,1.0
11,4,6.123233995736766e-17,1.0
12,4,6.123233995736766e-17,1.0
13,4,6.123233995736766e-17,1.0
14,4,6.123233995736766e-17,1.0
15,4,-1.6081226496766364e-16,1.0
16,3,6.123233995736766e-17,1.0
17,3,-1.6081226496766362e-27,1e-11
