,robot_x,robot_y,local_ppl_cnt
0,1.5308084989341915e-17,-3.75,0
1,3.061616997868383e-17,-3.5,0
2,4.592425496802574e-17,-3.25,0
3,6.123233995736766e-17,-3.0,0
4,7.654042494670958e-17,-2.75,0
5,9.18485099360515e-17,-2.5,0
6,1.0715659492539341e-16,-2.25,1
7,1.2246467991473532e-16,-2.0,1
8,1.3777276490407724e-16,-1.75,2
9,1.5308084989341916e-16,-1.5,2
10,1.6838893488276108e-16,-1.25,4
11,1.83697019872103e-16,-1.0,4
12,1.990051048614449e-16,-0.75,4
13,2.1431318985078683e-16,-0.5,4
14,2.2962127484012875e-16,-0.25,4
15,1.8941820859821284e-16,0.0,4
16,2.0472629358755476e-16,0.25,3
17,2.0472629358715273e-16,0.2500000000025,3
